Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs
Données validées jusqu'au 2024-09-30, préliminaires par la suite
Station:        040241         Rouge - à 8 km en aval de la ville de Rivière-Rouge                                                                                            
Bassin versant: 1944.6 km²     Régime: Non influencé                                     
Coordonnées:    (NAD83) 46° 21' 53" // -74° 49' 0"

Date de création du fichier: 2025-05-24 11:04
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040241         2020/12/02          55.08          MJ
040241         2020/12/03          61.64          MJ
040241         2020/12/04          58.48          MJ
040241         2020/12/05          54.40          MJ
040241         2020/12/06          50.51          MJ
040241         2020/12/07          45.47          R
040241         2020/12/08          42.72          R
040241         2020/12/09          40.01          R
040241         2020/12/10          37.51          R
040241         2020/12/11          35.34          R
040241         2020/12/12          34.22          R
040241         2020/12/13          33.71          R
040241         2020/12/14          33.53          R
040241         2020/12/15          24.55          R
040241         2020/12/16          23.17          R
040241         2020/12/17          25.78          R
040241         2020/12/18          30.94          R
040241         2020/12/19          36.67          R
040241         2020/12/20          39.26          R
040241         2020/12/21          35.33          R
040241         2020/12/22          29.77          R
040241         2020/12/23          28.63          R
040241         2020/12/24          30.28          R
040241         2020/12/25          33.18          R
040241         2020/12/26          75.83          R
040241         2020/12/27          104.4          R
040241         2020/12/28          92.71          R
040241         2020/12/29          82.54          R
040241         2020/12/30          73.86          R
040241         2020/12/31          66.55          R
040241         2021/01/01          60.51          R
040241         2021/01/02          55.62          R
040241         2021/01/03          51.80          R
040241         2021/01/04          48.83          R
040241         2021/01/05          45.43          R
040241         2021/01/06          42.62          R
040241         2021/01/07          41.32          R
040241         2021/01/08          39.76          R
040241         2021/01/09          38.12          R
040241         2021/01/10          36.50          R
040241         2021/01/11          35.04          R
040241         2021/01/12          33.83          R
040241         2021/01/13          31.20          R
040241         2021/01/14          30.60          R
040241         2021/01/15          29.59          R
040241         2021/01/16          29.16          R
040241         2021/01/17          28.47          R
040241         2021/01/18          27.96          R
040241         2021/01/19          27.43          R
040241         2021/01/20          26.89          R
040241         2021/01/21          26.34          R
040241         2021/01/22          25.79          R
040241         2021/01/23          25.25          R
040241         2021/01/24          24.71          R
040241         2021/01/25          24.18          R
040241         2021/01/26          23.67          R
040241         2021/01/27          23.18          R
040241         2021/01/28          22.71          R
040241         2021/01/29          22.26          R
040241         2021/01/30          21.84          R
040241         2021/01/31          21.46          R
040241         2021/02/01          21.10          R
040241         2021/02/02          20.77          R
040241         2021/02/03          20.49          R
040241         2021/02/04          20.24          R
040241         2021/02/05          20.56          R
040241         2021/02/06          19.66          R
040241         2021/02/07          18.87          R
040241         2021/02/08          18.18          R
040241         2021/02/09          17.58          R
040241         2021/02/10          17.05          R
040241         2021/02/11          16.59          R
040241         2021/02/12          16.18          R
040241         2021/02/13          15.82          R
040241         2021/02/14          15.50          R
040241         2021/02/15          15.21          R
040241         2021/02/16          14.95          R
040241         2021/02/17          14.71          R
040241         2021/02/18          14.50          R
040241         2021/02/19          14.29          R
040241         2021/02/20          14.09          R
040241         2021/02/21          13.90          R
040241         2021/02/22          13.70          R
040241         2021/02/23          13.50          R
040241         2021/02/24          13.66          R
040241         2021/02/25          13.84          R
040241         2021/02/26          14.00          R
040241         2021/02/27          13.95          R
040241         2021/02/28          14.07          R
040241         2021/03/01          14.74          R
040241         2021/03/02          15.36          R
040241         2021/03/03          15.19          R
040241         2021/03/04          14.93          R
040241         2021/03/05          14.60          R
040241         2021/03/06          14.24          R
040241         2021/03/07          13.87          R
040241         2021/03/08          13.51          R
040241         2021/03/09          13.19          J
040241         2021/03/10          13.13          R
040241         2021/03/11          14.51          R
040241         2021/03/12          16.49          R
040241         2021/03/13          17.88          R
040241         2021/03/14          19.19          R
040241         2021/03/15          19.52          R
040241         2021/03/16          19.98          R
040241         2021/03/17          19.76          R
040241         2021/03/18          19.50          R
040241         2021/03/19          19.23          R
040241         2021/03/20          18.98          R
040241         2021/03/21          18.77          R
040241         2021/03/22          19.79          R
040241         2021/03/23          21.50          R
040241         2021/03/24          25.11          R
040241         2021/03/25          37.54          MJ
040241         2021/03/26          69.85          MJ
040241         2021/03/27          110.6          MJ
040241         2021/03/28          131.4          MJ
040241         2021/03/29          136.7          MJ
040241         2021/03/30          154.5          MJ
040241         2021/03/31          144.8          MJ
040241         2021/04/01          144.6          MJ
040241         2021/04/02          139.2          J
040241         2021/04/03          121.4          MJ
040241         2021/04/04          105.8          MJ
040241         2021/04/05          94.84          MJ
040241         2021/04/06          88.21          MJ
040241         2021/04/07          85.26          MJ
